scenario,path_key,v_target,mass,friction,actuator_delay_s,sensor_noise_m,event,controller,finished,mean_distance_m,mean_kp
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,PPO,1,0.004122,35.421
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 26 (baseline),1,0.004743,26.000
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 15,1,0.006588,15.000
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 20,1,0.005532,20.000
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 34,1,0.004110,34.000
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 42,1,0.003739,42.000
0,arc,0.3,40.201,0.737,0.0140,0.00014,force_gust,fixed Kp 50,1,0.003502,50.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,PPO,1,0.003667,37.950
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 26 (baseline),0,0.004770,26.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 15,0,0.006791,15.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 20,0,0.005591,20.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 34,0,0.004135,34.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 42,0,0.003769,42.000
1,square,0.5,29.568,0.825,0.0420,0.00024,force,fixed Kp 50,0,0.003552,50.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,PPO,1,0.013709,35.694
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 26 (baseline),1,0.015746,26.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 15,0,0.023008,15.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 20,1,0.018899,20.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 34,0,0.013462,34.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 42,0,0.011249,42.000
2,zigzag60,0.5,11.067,0.473,0.0380,0.00039,mass,fixed Kp 50,1,0.012053,50.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,PPO,1,0.002948,40.968
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 26 (baseline),1,0.003284,26.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 15,1,0.003980,15.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 20,1,0.003576,20.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 34,1,0.003053,34.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 42,1,0.002915,42.000
3,uturn,0.7,26.040,0.985,0.0180,0.00022,force,fixed Kp 50,1,0.002824,50.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,PPO,1,0.011621,33.680
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 26 (baseline),1,0.011760,26.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 15,1,0.016623,15.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 20,1,0.020176,20.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 34,1,0.009240,34.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 42,1,0.014233,42.000
4,uturn,0.7,8.673,0.906,0.0480,0.00038,mass,fixed Kp 50,1,0.007549,50.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,PPO,1,0.006450,32.791
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 26 (baseline),1,0.007037,26.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 15,1,0.009480,15.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 20,1,0.008002,20.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 34,1,0.005588,34.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 42,1,0.004993,42.000
5,zigzag,0.3,24.895,0.444,0.0160,0.00014,force_gust,fixed Kp 50,1,0.004727,50.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,PPO,1,0.028018,35.174
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 26 (baseline),1,0.016909,26.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 15,1,0.013214,15.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 20,1,0.014040,20.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 34,1,0.015970,34.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 42,1,0.030869,42.000
6,square,0.5,49.780,0.302,0.0740,0.00001,mass,fixed Kp 50,0,0.054308,50.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,PPO,1,0.003159,34.459
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 26 (baseline),1,0.003618,26.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 15,1,0.004743,15.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 20,1,0.004070,20.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 34,1,0.003278,34.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 42,1,0.003079,42.000
7,hairpin,0.3,45.409,0.946,0.0040,0.00010,mass,fixed Kp 50,1,0.002950,50.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,PPO,1,0.010521,34.513
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 26 (baseline),1,0.009707,26.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 15,1,0.014649,15.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 20,1,0.011869,20.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 34,1,0.008042,34.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 42,1,0.007085,42.000
8,zigzag30,0.5,35.858,0.420,0.0060,0.00037,force_gust,fixed Kp 50,1,0.006466,50.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,PPO,1,0.056798,30.633
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 26 (baseline),1,0.051883,26.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 15,1,0.047278,15.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 20,1,0.048876,20.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 34,1,0.061460,34.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 42,0,0.107452,42.000
9,zigzag60,0.3,20.941,0.211,0.0220,0.00036,mass,fixed Kp 50,0,0.118001,50.000
10,figure8,0.7,48.743,0.524,0.0260,0.00033,mass,PPO,1,0.005691,35.178
10,figure8,0.7,48.743,0.524,0.0260,0.00033,mass,fixed Kp 26 (baseline),0,0.006318,26.000
10,figure8,0.7,48.743,0.524,0.0260,0.00033,mass,fixed Kp 15,0,0.009437,15.000
